BOARD,N,MAXCYC,MAXLAT,MEMR,MEMW,ARCHT,HLST,BRAM,DSP,FF,LUT,LUTN
Z10, 2, 525, 3.314, 0, 0, 126, 40, 6, 15, 28, 57, 10120
Z10, 4, 544, 3.434, 0, 0, 138, 47, 6, 15, 29, 58, 10221
Z10, 8, 578, 3.648, 0, 0, 185, 44, 8, 15, 29, 58, 10260
Z10, 16, 646, 4.078, 0, 0, 368, 44, 8, 15, 30, 58, 10365
Z10, 32, 784, 4.949, 0, 0, 1011, 45, 8, 15, 30, 60, 10560
Z10, 64, 1056, 6.665, 0, 0, 7082, 49, 8, 15, 30, 61, 10777
Z10, 128, 1600, 10.099, 0, 0, 103395, 52, 8, 15, 30, 63, 11214
Z10, 256, 2688, 16.967, 0, 0, 1360932, 57, 11, 15, 30, 70, 12344
GENESYS, 2, 298, 1.213, 0, 0, 122, 33, 1, 4, 3, 10, 7561
GENESYS, 4, 318, 1.294, 0, 0, 136, 33, 1, 4, 3, 10, 7672
GENESYS, 8, 352, 1.432, 0, 0, 182, 34, 2, 4, 3, 10, 7712
GENESYS, 16, 420, 1.709, 0, 0, 347, 35, 2, 4, 3, 11, 7817
GENESYS, 32, 558, 2.271, 0, 0, 996, 36, 2, 4, 4, 11, 7977
GENESYS, 64, 830, 3.377, 0, 0, 6279, 38, 2, 4, 4, 11, 8208
GENESYS, 128, 1374, 5.591, 0, 0, 98883, 41, 2, 4, 4, 12, 8646
GENESYS, 256, 2462, 10.018, 0, 0, 1355013, 50, 3, 4, 4, 13, 9778
