BOARD,N,MAXCYC,MAXLAT,MEMR,MEMW,ARCHT,HLST,BRAM,DSP,FF,LUT,BRAMN,DSPN,FFN,LUTN
Z10, 2, 343, 2.165, 4, 2, 106, 32, 6, 7, 12, 34, 8, 6, 4438, 6109
Z10, 4, 683, 4.311, 8, 4, 102, 34, 6, 7, 15, 40, 8, 6, 5303, 7055
Z10, 8, 1251, 7.896, 16, 8, 111, 39, 6, 7, 19, 48, 8, 6, 6921, 8580
Z10, 16, 2384, 15.048, 32, 16, 111, 49, 6, 7, 29, 56, 8, 6, 10268, 9969
Z10, 32, 4649, 29.344, 64, 32, 121, 97, 6, 7, 47, 73, 8, 6, 16710, 12996
Z10, 48, 6908, 43.603, 96, 48, 137, 200, 6, 7, 68, 94, 8, 6, 24028, 16642
Z10, 64, 9173, 57.900, 128, 64, 151, 371, 6, 7, 85, 109, 8, 6, 30057, 19284
GENESYS, 2, 319, 1.298, 4, 2, 99, 26, 1, 2, 2, 7, 8, 8, 2864, 5022
GENESYS, 4, 645, 2.625, 8, 4, 101, 28, 1, 2, 2, 8, 8, 8, 3635, 6091
GENESYS, 8, 1185, 4.822, 16, 8, 105, 32, 1, 2, 3, 10, 8, 8, 5181, 7547
GENESYS, 16, 2262, 9.204, 32, 16, 111, 42, 1, 2, 5, 12, 8, 8, 8210, 8956
GENESYS, 32, 4415, 17.965, 64, 32, 127, 86, 1, 2, 9, 17, 8, 8, 13942, 12000
GENESYS, 48, 6562, 26.701, 96, 48, 135, 179, 1, 2, 14, 21, 8, 8, 19808, 15068
GENESYS, 64, 8715, 35.461, 128, 64, 147, 329, 1, 2, 18, 25, 8, 8, 25698, 18273
