FILE,BOARD,N,MAXCYC,MAXLAT,MEMR,MEMW,ARCHT,HLST,BRAM,DSP,FF,LUT
echoN, Z10, 2, 302, 2.458, 4, 2, 108, 31, 6, 10, 7, 31
echoN, Z10, 4, 616, 5.013, 8, 4, 106, 34, 6, 10, 10, 37
echoN, Z10, 8, 1132, 9.212, 16, 8, 119, 39, 6, 10, 14, 45
echoN, Z10, 16, 2161, 17.586, 32, 16, 116, 45, 6, 10, 22, 53
echoN, Z10, 32, 4218, 34.326, 64, 32, 136, 89, 6, 10, 38, 71
echoN, Z10, 64, 8326, 67.757, 128, 64, 162, 300, 6, 10, 71, 106
echoN, GENESYS, 2, 270, 2.197, 4, 2, 104, 27, 1, 2, 1, 6
echoN, GENESYS, 4, 578, 4.704, 8, 4, 111, 29, 1, 2, 2, 8
echoN, GENESYS, 8, 1082, 8.805, 16, 8, 113, 32, 1, 2, 3, 10
echoN, GENESYS, 16, 2087, 16.984, 32, 16, 116, 41, 1, 2, 5, 12
echoN, GENESYS, 32, 4096, 33.333, 64, 32, 146, 81, 1, 2, 9, 17
echoN, GENESYS, 64, 8108, 65.983, 128, 64, 171, 289, 1, 2, 16, 25
bellN, Z10, 6, 135, 1.099, 0, 0, 169, 38, 6, 25, 15, 48
bellN, Z10, 8, 151, 1.229, 0, 0, 176, 39, 6, 25, 17, 52
bellN, Z10, 16, 215, 1.750, 0, 0, 210, 43, 6, 25, 24, 71
bellN, Z10, 32, 343, 2.830, 0, 0, 301, 49, 6, 25, 38, 109
bellN, GENESYS, 6, 97, 0.789, 0, 0, 173, 29, 1, 5, 3, 9
bellN, GENESYS, 8, 104, 0.846, 0, 0, 170, 29, 1, 5, 3, 10
bellN, GENESYS, 16, 152, 1.237, 0, 0, 215, 32, 1, 5, 5, 15
bellN, GENESYS, 32, 248, 2.018, 0, 0, 299, 39, 1, 5, 8, 24
firN, Z10, 50, 439, 3.573, 0, 0, 141, 34, 6, 10, 5, 31
firN, Z10, 100, 839, 6.983, 0, 0, 178, 39, 6, 10, 6, 41
firN, Z10, 200, 1639, 14.526, 0, 0, 427, 48, 6, 10, 8, 57
firN, Z10, 500, 4039, 34.492, 0, 0, 4329, 83, 6, 10, 15, 98
firN, GENESYS, 50, 319, 2.596, 0, 0, 129, 28, 1, 2, 1, 6
firN, GENESYS, 100, 619, 5.037, 0, 0, 174, 31, 1, 2, 1, 9
firN, GENESYS, 200, 1219, 9.920, 0, 0, 438, 38, 1, 2, 1, 13
firN, GENESYS, 500, 3019, 24.569, 0, 0, 4425, 71, 1, 2, 3, 24
vbapN, Z10, 2, 267, 2.173, 0, 0, 130, 40, 6, 17, 14, 45
vbapN, Z10, 4, 289, 2.352, 0, 0, 164, 40, 6, 17, 15, 45
vbapN, Z10, 8, 324, 2.637, 0, 0, 194, 41, 8, 17, 15, 45
vbapN, Z10, 16, 392, 3.190, 0, 0, 386, 41, 8, 17, 15, 46
vbapN, Z10, 32, 530, 4.313, 0, 0, 1021, 43, 8, 17, 15, 47
vbapN, Z10, 64, 802, 6.527, 0, 0, 6838, 44, 8, 17, 15, 48
vbapN, Z10, 128, 1346, 10.954, 0, 0, 118057, 47, 8, 17, 16, 51
vbapN, Z10, 256, 2434, 19.808, 0, 0, 1638493, 54, 11, 17, 16, 57
vbapN, GENESYS, 2, 178, 1.449, 0, 0, 132, 36, 1, 4, 2, 9
vbapN, GENESYS, 4, 202, 1.644, 0, 0, 162, 36, 1, 4, 2, 9
vbapN, GENESYS, 8, 236, 1.921, 0, 0, 203, 37, 2, 4, 2, 10
vbapN, GENESYS, 16, 304, 2.474, 0, 0, 371, 37, 2, 4, 2, 10
vbapN, GENESYS, 32, 442, 3.597, 0, 0, 1167, 39, 2, 4, 2, 10
vbapN, GENESYS, 64, 714, 5.811, 0, 0, 7252, 39, 2, 4, 2, 10
vbapN, GENESYS, 128, 1258, 10.238, 0, 0, 125206, 42, 2, 4, 2, 11
vbapN, GENESYS, 256, 2346, 19.092, 0, 0, 1653800, 47, 3, 4, 3, 12
lmsN, Z10, 30, 769, 6.566, 0, 0, 155, 42, 5, 10, 18, 41
lmsN, Z10, 60, 1459, 11.873, 0, 0, 200, 47, 5, 10, 31, 53
lmsN, Z10, 120, 2839, 24.734, 0, 0, 358, 72, 6, 10, 56, 79
lmsN, Z10, 130, 3069, 26.278, 0, 0, 406, 80, 5, 10, 61, 84
lmsN, Z10, 150, 3529, 31.184, 0, 0, 509, 94, 5, 10, 69, 92
lmsN, Z10, 175, 4104, 33.911, 0, 0, 734, 119, 5, 10, 80, 103
lmsN, GENESYS, 30, 615, 5.005, 0, 0, 150, 31, 1, 2, 4, 9
lmsN, GENESYS, 60, 1185, 9.644, 0, 0, 191, 39, 1, 2, 7, 12
lmsN, GENESYS, 120, 2325, 18.921, 0, 0, 359, 59, 1, 2, 13, 18
lmsN, GENESYS, 130, 2515, 20.467, 0, 0, 385, 66, 1, 2, 14, 20
lmsN, GENESYS, 150, 2895, 23.560, 0, 0, 523, 76, 1, 2, 16, 22
lmsN, GENESYS, 175, 3370, 27.425, 0, 0, 688, 89, 1, 2, 19, 24
